FIAP point url,sfs hardlink paths,sfs symlink paths,hardlink type
http://gw.espdragon.jp/EngBldg2/10F/102B1/POWER_H,/buildings/todai_eng2/spaces/10F/102B1/power_h/,,stream
http://gw.espdragon.jp/EngBldg2/10F/102B1/POWER_N,/buildings/todai_eng2/spaces/10F/102B1/power_n/,,stream
http://gw.espdragon.jp/EngBldg2/10F/102B1/LIGHT,/buildings/todai_eng2/lighting/light01/,/buildings/todai_eng2/spaces/10F/102B1/light/,stream
http://gw.espdragon.jp/EngBldg2/10F/102B1/EHP,/buildings/todai_eng2/hvac/ehp01/,/buildings/todai_eng2/spaces/10F/102B1/ehp/,default
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/EngBldg2/10F/EHP/Pana_DLL1/PAC10-2/102B1-B2,/buildings/todai_eng2/electrical/panel_dll1/pac10-2/power,/buildings/todai_eng2/hvac/ehp01/power;/buildings/todai_eng2/spaces/10F/102B1-B2/ehp/power,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/EngBldg2/10F/102B1,/buildings/todai_eng2/spaces/10F/102B1,,default
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/EngBldg2/10F/LIGHT/Pana_DLL2/102B1-B2,/buildings/todai_eng2/panel_dll2/power/,/buildings/todai_eng2/spaces/10F/102B1-B2/light/power/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/EngBldg2/10F/102B1/RH1,/buildings/todai_eng2/hvac/rh01/,/buildings/todai_eng2/spaces/10F/102B1/rh1/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/EngBldg2/10F/102B1/RH2,/buildings/todai_eng2/hvac/rh02/,/buildings/todai_eng2/spaces/10F/102B1/rh2/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/EngBldg2/10F/102B1/RH3,/buildings/todai_eng2/hvac/rh03/,/buildings/todai_eng2/spaces/10F/102B1/rh3/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/EngBldg2/10F/102B1/RH4,/buildings/todai_eng2/hvac/rh04/,/buildings/todai_eng2/spaces/10F/102B1/rh4/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/EngBldg2/10F/102B1/DB1,/buildings/todai_eng2/hvac/temps/db01/,/buildings/todai_eng2/spaces/10F/102B1/db1/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/EngBldg2/10F/102B1/DB2,/buildings/todai_eng2/hvac/temps/db02/,/buildings/todai_eng2/spaces/10F/102B1/db2/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/EngBldg2/10F/102B1/DB3,/buildings/todai_eng2/hvac/temps/db03/,/buildings/todai_eng2/spaces/10F/102B1/db3/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/EngBldg2/10F/102B1/DB4,/buildings/todai_eng2/hvac/temps/db04/,/buildings/todai_eng2/spaces/10F/102B1/db4/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/VFAN/MODEfb/,/buildings/todai_eng2/hvac/vfan01/modefb/,/buildings/todai_eng2/spaces/10F/102B1/vfan/modefb/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/VFAN/ALARM/,/buildings/todai_eng2/hvac/vfan01/alarm/,/buildings/todai_eng2/spaces/10F/102B1/vfan/alarm/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/VFAN/SWC/,/buildings/todai_eng2/hvac/vfan01/swc/,/buildings/todai_eng2/spaces/10F/102B1/vfan/swc/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/VFAN/SWCfb/,/buildings/todai_eng2/hvac/vfan01/swcfb/,/buildings/todai_eng2/spaces/10F/102B1/vfan/swcfb/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/VFAN/FAN/,/buildings/todai_eng2/hvac/vfan01/fan/,/buildings/todai_eng2/spaces/10F/102B1/vfan/fan/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/VFAN/hSWC/,/buildings/todai_eng2/hvac/vfan01/hswc/,/buildings/todai_eng2/spaces/10F/102B1/vfan/hswc/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/VFAN/FANfb/,/buildings/todai_eng2/hvac/vfan01/fanfb/,/buildings/todai_eng2/spaces/10F/102B1/vfan/fanfb/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/VFAN/MODE/,/buildings/todai_eng2/hvac/vfan01/mode/,/buildings/todai_eng2/spaces/10F/102B1/vfan/mode/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/CO2/,/buildings/todai_eng2/spaces/10F/102B1/co2/,,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/EHP/DB/,/buildings/todai_eng2/hvac/ehp01/db/,/buildings/todai_eng2/spaces/10F/102B1/ehp/db/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/EHP/FANfb/,/buildings/todai_eng2/hvac/ehp01/fanfb/,/buildings/todai_eng2/spaces/10F/102B1/ehp/fanfb/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/EHP/Setpt/,/buildings/todai_eng2/hvac/ehp01/setpt/,/buildings/todai_eng2/spaces/10F/102B1/ehp/setpt/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/EHP/hSWC/,/buildings/todai_eng2/hvac/ehp01/hswc/,/buildings/todai_eng2/spaces/10F/102B1/ehp/hswc/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/EHP/ALARM/,/buildings/todai_eng2/hvac/ehp01/alarm/,/buildings/todai_eng2/spaces/10F/102B1/ehp/alarm/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/EHP/MODE/,/buildings/todai_eng2/hvac/ehp01/mode/,/buildings/todai_eng2/spaces/10F/102B1/ehp/mode/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/EHP/MODEfb/,/buildings/todai_eng2/hvac/ehp01/modefb/,/buildings/todai_eng2/spaces/10F/102B1/ehp/modefb/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/EHP/SWCfb/,/buildings/todai_eng2/hvac/ehp01/swcfb/,/buildings/todai_eng2/spaces/10F/102B1/ehp/swcfb/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/EHP/SWC/,/buildings/todai_eng2/hvac/ehp01/swc/,/buildings/todai_eng2/spaces/10F/102B1/ehp/swc/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/EHP/FAN/,/buildings/todai_eng2/hvac/ehp01/fan/,/buildings/todai_eng2/spaces/10F/102B1/ehp/fan/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/EHP/OpeTm/,/buildings/todai_eng2/hvac/ehp01/opetm/,/buildings/todai_eng2/spaces/10F/102B1/ehp/opetm/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/EHP/SetptFb/,/buildings/todai_eng2/hvac/ehp01/setptfb/,/buildings/todai_eng2/spaces/10F/102B1/ehp/setptfb/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/HVAC/PPE/
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/esakiLab/PFE/,/buildings/todai_eng2/hvac/pfe01/,/buildings/todai_eng2/spaces/10F/102B1/pfe/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/esakiLab/IE/,/buildings/todai_eng2/hvac/ie01/,/buildings/todai_eng2/spaces/10F/102B1/ie/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/esakiLab/QE/,/buildings/todai_eng2/hvac/qe01/,/buildings/todai_eng2/spaces/10F/102B1/qe/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/esakiLab/VE/,/buildings/todai_eng2/hvac/ve01/,/buildings/todai_eng2/spaces/10F/102B1/ve/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/esakiLab/PPE/,/buildings/todai_eng2/hvac/ppe01/,/buildings/todai_eng2/spaces/10F/102B1/ppe/,stream
http://fiap-gw.gutp.ic.i.u-tokyo.ac.jp/obix/ut_hongo/t2/102B1/esakiLab/PE/,/buildings/todai_eng2/hvac/pe01/,/buildings/todai_eng2/spaces/10F/102B1/pe/,stream
