KEIO STE ID,Status,Safecast ID,Sensor Type,Inspector SN,Feed ID,Feed (Pachube/Safecast),Device ID,Type,Firmware Version,nGeigie ID,Inuse,,Location,___,Address,Latitude,Longitude,Height(m),Indoor/Outdoor,Action needed,__€_Yahoo_______,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0001,,,Inspector Alert,A03467,26896,http://www.pachube.com/feeds/26896,KEIOSTE231,WiFi,1/20/12,,Yes,6/18/11,"Nagoya, Softbank",_________________________________ ___º________________________,,136.9078016,0.6,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0002,,,Inspector Alert,A03700,26897,http://www.pachube.com/feeds/26897,KEIOSTE232,WiFi,1/20/12,,Yes,6/18/11,"Shizuoka, Softbank",______________,____________________________________,34.97434877,138.386879,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0003,,,Inspector Alert,A01743,28447,http://www.pachube.com/feeds/28447,KEIOSTE21,WiFi,1/20/12,,Yes,6/19/11,"Roppongi, Softbank",________________,________________ ___º______________€__________________,35.66360738,139.732275,0.2,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#004,,,Inspector Alert,,28494,http://www.pachube.com/feeds/28494,KEIOSTE64,WiFi,12/23/11,,Yes,6/21/11,"Chiba, Softbank",_________________,____________________ ___º_______________________________,35.60982476,140.1219463,0.8,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0005,,,Inspector Alert,A03580,28493,http://www.pachube.com/feeds/28493,KEIOSTE236,WiFi,1/20/12,,Yes,6/20/11,"Nihonmatsu, Softbank",_______________,__________________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H603,140.4319668,2,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0006,,,Inspector Alert,A01752,28446,http://www.pachube.com/feeds/28446,KEIOSTE33,WiFi,1/20/12,#003,Yes,6/19/11,"Nagano, Softbank",_________________,__________________ _________________________________,36.64180564,138.1906271,1.2,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0007,,,Inspector Alert,A03122,28445,http://www.pachube.com/feeds/28445,KEIOSTE237,WiFi,1/20/12,#007,Yes,6/20/11,"Shibuya, Softbank",______________,________________________________,35.66019036,139.6986294,0.7,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#008,,#0073,Inspector Alert,A01818,28448,http://www.pachube.com/feeds/28448,KEIOSTE8,Ethernet,1/20/12,#008,Yes,6/20/11,"Sendai, Softbank",___________________________________________ ___º_________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H524,38.261877,0.6,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0009,,,Inspector Alert,A02910,28492,http://www.pachube.com/feeds/28492,KEIOSTE188,WiFi,12/23/11,,Yes,11/29/11,"Iwaki, Softbank",________________€_,__________________€_ _______________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H617,140.901744,0.8,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0010,,,Inspector Alert,A03478,28453,http://www.pachube.com/feeds/28453,KEIOSTE325,WiFi,1/20/12,#010,Yes,6/20/11,"Omiya, Softbank",__________________,_______________________ ___º____________________,35.90907393,139.6266603,1.5,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#011,,,Inspector Alert,A01739,28866,http://www.pachube.com/feeds/28866,KEIOSTE21,Ethernet,1/20/12,#011,Yes,6/10/11,"Omotesando, Softbank",_______________,_____________________º________________________,35.66862803,139.7052813,0.9,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#012,,,Inspector Alert,A01930,29816,http://www.pachube.com/feeds/29816,KEIOSTE18,WiFi,1/20/12,,Yes,8/3/11,"Tamachi, Softbank",______________,_______________º_________€€__________________,35.646269,139.747658,0,Indoor (M2F),,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#013,,,Inspector Alert,A01931,29817,http://www.pachube.com/feeds/29817,KEIOSTE19,WiFi,1/20/12,,Yes,8/11/11,"Fukushima1, Softbank",_______________________________________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H639,37.780174,0.9,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#014,,,Inspector Alert,A01736,29818,http://www.pachube.com/feeds/29818,KEIOSTE20,/w AP,1/20/12,,Yes,8/3/11,"Makuhari, Softbank",___________________,________________________º___€€_____________,35.647765,140.040398,0.6,Indoor (2F),,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#015,,,Inspector Alert,A01740,33843,http://www.pachube.com/feeds/33843,KEIOSTE22,Ethernet,7/21/11,,Yes,8/11/11,"Minamisoma, Softbank",_____________,______________________ ___º________,37.6417,140.961809,0.7,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#016,,,Inspector Alert,A01741,33844,http://www.pachube.com/feeds/33844,KEIOSTE23,/w AP,7/21/11,,Yes,8/9/11,"Hitachi, Softbank",_________________€,________________ ___º___________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=T546,140.625866,2.2,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#017,,,Inspector Alert,A01819,34023,http://www.pachube.com/feeds/34023,KEIOSTE25,WiFi,1/20/12,,Yes,8/11/11,"Date, Softbank",_____________,________________ _____º___http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H632,140.553054,0.9,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
