KEIO STE ID,Status,Safecast ID,Sensor Type,Inspector SN,Feed ID,Feed (Pachube/Safecast),Device ID,Type,Firmware Version,nGeigie ID,Inuse,,Location,Latitude,Longitude,Height(m),Indoor/Outdoor,Action needed,,,,,,,,,,,,,,,,,,,,,,
#0001,,,Inspector Alert,A03467,26896,http://www.pachube.com/feeds/26896,KEIOSTE231,WiFi,1/20/12,,Yes,6/18/11,"Nagoya, Softbank",136.9078016,0.6,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0002,,,Inspector Alert,A03700,26897,http://www.pachube.com/feeds/26897,KEIOSTE232,WiFi,1/20/12,,Yes,6/18/11,"Shizuoka, Softbank",34.97434877,138.386879,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0003,,,Inspector Alert,A01743,28447,http://www.pachube.com/feeds/28447,KEIOSTE21,WiFi,1/20/12,,Yes,6/19/11,"Roppongi, Softbank",35.66360738,139.732275,0.2,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#004,,,Inspector Alert,,28494,http://www.pachube.com/feeds/28494,KEIOSTE64,WiFi,12/23/11,,Yes,6/21/11,"Chiba, Softbank",35.60982476,140.1219463,0.8,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0005,,,Inspector Alert,A03580,28493,http://www.pachube.com/feeds/28493,KEIOSTE236,WiFi,1/20/12,,Yes,6/20/11,"Nihonmatsu, Softbank",140.4319668,2,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0006,,,Inspector Alert,A01752,28446,http://www.pachube.com/feeds/28446,KEIOSTE33,WiFi,1/20/12,#003,Yes,6/19/11,"Nagano, Softbank",36.64180564,138.1906271,1.2,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0007,,,Inspector Alert,A03122,28445,http://www.pachube.com/feeds/28445,KEIOSTE237,WiFi,1/20/12,#007,Yes,6/20/11,"Shibuya, Softbank",35.66019036,139.6986294,0.7,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#008,,#0073,Inspector Alert,A01818,28448,http://www.pachube.com/feeds/28448,KEIOSTE8,Ethernet,1/20/12,#008,Yes,6/20/11,"Sendai, Softbank",0.6,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,
#0009,,,Inspector Alert,A02910,28492,http://www.pachube.com/feeds/28492,KEIOSTE188,WiFi,12/23/11,,Yes,11/29/11,"Iwaki, Softbank",140.901744,0.8,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0010,,,Inspector Alert,A03478,28453,http://www.pachube.com/feeds/28453,KEIOSTE325,WiFi,1/20/12,#010,Yes,6/20/11,"Omiya, Softbank",35.90907393,139.6266603,1.5,Indoor,,,,,,,,,,,,,,,,,,,,,,,
